#/**************************************************************
# *                                                            *            
# *  TopoMgr                                                   *
# *                                                            *
# *  Topology handling in BESIII                               *
# *                                                            *
# *  Author: Markus Kuhlmann, Marvin Richter                   *
# *   email: mkuhlmann@ep1.rub.de, mrichter@ep1.rub.de         *
# *                                                            *
# *  Copyright (C) 2016  Markus Kuhlmann, Marvin Richter       *
# *                                                            *
# *                                                            *
# *  Description: Topology handling in BESIII                  *
# *                                                            *
# *  License:                                                  *
# *                                                            *
# *  This file is part of TopoMgr                              *
# *                                                            *
# *  TopoMgr is free software: you can redistribute it and/or  *
# *  modify it under the terms of the GNU General Public       *
# *  License as published by the Free Software Foundation,     *
# *  either version 3 of the License, or (at your option) any  *
# *  later version.                                            *
# *                                                            *
# *  TopoMgr is distributed in the hope that it will be useful,*
# *  but WITHOUT ANY WARRANTY; without even the implied        *
# *  warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR   *
# *  PURPOSE. See the GNU General Public License for more      *
# *  details.                                                  *
# *                                                            *
# *  You should have received a copy of the GNU General        *
# *  Public License along with TopoMgr (license.txt). If not,  *
# *                                                            *
# *                                                            *
# *  see <http://www.gnu.org/licenses/>.                       *
# *                                                            *
# *************************************************************/
#TYPE NAME ID MASS WIDTH MAX_DM 3*CHARGE 2*SPIN LIFETIME LUND-KC
Lepton tau+ -15 1.777 0 0 3 1 0.0872 0
Lepton nu_tau 16 0 0 0 0 1 0 16
Lepton anti-nu_tau -16 0 0 0 0 1 0 0
Lepton L- 17 400 0 0 -3 1 0 17
Lepton L+ -17 400 0 0 3 1 0 0
Lepton nu_L 18 0 0 0 0 1 0 18
Lepton anti-nu_L -18 0 0 0 0 1 0 0
InterBoson gamma 22 0 0 0 0 2 0 22
InterBoson gammaFSR -22 0 0 0 0 2 0 -22
Special vpho 10022 0 0 0 0 2 0 0
Special Cerenkov 20022 0 0 0 0 2 0 0
InterBoson Z0 23 91.187 2.49 10 0 2 0 23
InterBoson W+ 24 80.419 2.12 10 3 2 0 24
InterBoson W- -24 80.419 2.12 10 -3 2 0 0
InterBoson Higgs0 25 200 0 0 0 0 0 25
InterBoson reggeon 28 0 0 0 0 0 0 28
InterBoson pomeron 29 0 0 0 0 0 0 29
InterBoson Z'0 32 500 0 0 0 2 0 32
InterBoson Z''0 33 900 0 0 0 2 0 33
InterBoson W'+ 34 500 0 0 3 2 0 34
InterBoson W'- -34 500 0 0 -3 2 0 0
InterBoson Higgs'0 35 300 0 0 0 0 0 35
InterBoson A0 36 300 0 0 0 0 0 36
InterBoson Higgs+ 37 300 0 0 3 0 0 37
InterBoson Higgs- -37 300 0 0 -3 0 0 0
InterBoson R0 40 5000 0 0 0 2 0 40
InterBoson anti-R0 -40 5000 0 0 0 2 0 0
Special Xu0 41 1 0 0 0 0 0 41
Special Xu+ 42 1 0 0 3 0 0 42
Special Xu- -42 1 0 0 -3 0 0 0
Special specflav 81 0 0 0 0 0 0 81
Special rndmflav 82 0 0 0 0 0 0 82
Special anti-rndmflav -82 0 0 0 0 0 0 0
Special phasespa 83 0 0 0 0 0 0 83
Special c-hadron 84 2 0 0 2 0 0.1 84
Special anti-c-hadron -84 2 0 0 -2 0 0.1 0
Special b-hadron 85 5 0 0 -1 0 0.387 85
Special anti-b-hadron -85 5 0 0 1 0 0.387 0
Special t-hadron 86 175 0 0 2 0 0 86
Special anti-t-hadron -86 175 0 0 -2 0 0 0
Special b'-hadron 87 400 0 0 -1 0 0 87
Special anti-b'-hadron -87 400 0 0 1 0 0 0
Special t'-hadron 88 500 0 0 2 0 0 88
Special anti-t'-hadron -88 500 0 0 -2 0 0 0
Special Wvirt+ 89 0 0 0 3 0 0 89
Special Wvirt- -89 0 0 0 -3 0 0 0
Special diquark 90 0 0 0 0 0 0 90
Special anti-diquark -90 0 0 0 0 0 0 0
Special cluster 91 0 0 0 0 0 0 91
Special string 92 0 0 0 0 0 0 92
Special indep 93 0 0 0 0 0 0 93
Special CMshower 94 0 0 0 0 0 0 94
Special SPHEaxis 95 0 0 0 0 0 0 95
Special THRUaxis 96 0 0 0 0 0 0 96
Special CLUSjet 97 0 0 0 0 0 0 97
Special CELLjet 98 0 0 0 0 0 0 98
Special table 99 0 0 0 0 0 0 99
Meson pi0 111 0.1349766 0 0 0 0 0 111
Meson pi+ 211 0.13957 0 0 3 0 7804.5 101
Meson pi- -211 0.13957 0 0 -3 0 7804.5 0
Special pi_diff+ 210 0 0 0 3 0 0 281
Special pi_diff- -210 0 0 0 -3 0 0 0
Meson pi(2S)0 20111 1.3 0.4 0.5 0 0 0 0
Meson pi(2S)+ 20211 1.3 0.4 0.5 3 0 0 0
Meson pi(2S)- -20211 1.3 0.4 0.5 -3 0 0 0
Meson eta 221 0.547853 0 0 0 0 0 112
Meson eta(2S) 20221 1.294 0.055 0.2 0 0 0 0
Meson eta' 331 0.95778 0.0002 0.002 0 0 0 113
Meson rho0 113 0.77549 0.1494 0.48 0 2 0 131
Special rho_diff0 110 0 0 0 0 2 0 284
Meson rho+ 213 0.77549 0.149 0.48 3 2 0 121
Meson rho- -213 0.77549 0.149 0.48 -3 2 0 0
Meson rho(2S)0 30113 1.465 0.147 0.4 0 2 0 0
Meson rho(2S)+ 30213 1.465 0.147 0.4 3 2 0 0
Meson rho(2S)- -30213 1.465 0.147 0.4 -3 2 0 0
Meson rho(3S)0 40113 1.72 0.25 0.5 0 2 0 0
Meson rho(3S)+ 40213 1.72 0.25 0.5 3 2 0 0
Meson rho(3S)- -40213 1.72 0.25 0.5 -3 2 0 0
Meson rho(2150)- -9040213 2.149 0.359 0.5 -3 2 0 0
Meson rho(2150)+ 9040213 2.149 0.359 0.5 3 2 0 0
Meson rho(2150)0 -9040113 2.149 0.359 0.5 0 2 0 0
Meson omega 223 0.78265 0.00849 0.18 0 2 0 132
Special omega_diff 220 0 0 0 0 2 0 285
Meson omega(2S) 30223 1.42 0.2 0.4 0 2 0 0
Meson phi 333 1.01946 0.00426 0.032 0 2 0 133
Special phi_diff 330 0 0 0 0 2 0 286
Meson a_00 10111 0.9847 0.057 0.5 0 0 0 171
Meson a_0+ 10211 0.9847 0.057 0.5 3 0 0 161
Meson a_0- -10211 0.9847 0.057 0.5 -3 0 0 0
Meson f_0(600) 9000221 0.5 0.4 0.3 0 0 0 172
Meson f_0 9010221 0.99 0.05 0.5 0 0 0 172
Meson f'_0 10221 1.35 0.265 0.5 0 0 0 173
Meson b_10 10113 1.2295 0.142 0.25 0 2 0 151
Meson b_1+ 10213 1.2295 0.142 0.25 3 2 0 141
Meson b_1- -10213 1.2295 0.142 0.25 -3 2 0 0
Meson h_1 10223 1.17 0.36 0.6 0 2 0 152
Meson h'_1 10333 1.386 0.09 0.1 0 2 0 153
Meson a_10 20113 1.23 0.4 0.6 0 2 0 191
Meson a_1+ 20213 1.23 0.4 0.6 3 2 0 181
Meson a_1- -20213 1.23 0.4 0.6 -3 2 0 0
Meson f_1 20223 1.2818 0.0243 0.05 0 2 0 192
Meson a_20 115 1.318 0.107 0.5 0 4 0 211
Meson a_2+ 215 1.318 0.107 0.5 3 4 0 201
Meson a_2- -215 1.318 0.107 0.5 -3 4 0 0
Meson f_2 225 1.275 0.185 0.27 0 4 0 212
Meson f_0(1370) 10221 1.37 0.35 0.5 0 0 0 172
Meson f_0(1500) 50221 1.505 0.109 0.3 0 0 0 0
Meson f'_2 335 1.525 0.073 0.2 0 4 0 213
Meson eta(1405) 9020221 1.4098 0.0511 0.4 0 0 0 0
Meson eta(1475) 100331 1.476 0.085 0.4 0 0 0 0
Meson eta2(1870) 10335 1.842 0.225 0.4 0 4 0 0
Meson f_0(1710) 10331 1.724 0.137 0.4 0 0 0 0
Meson f_4(2050) 229 2.018 0.237 0.4 0 8 0 0
Meson f'_1 20333 1.4264 0.0549 0.4 0 2 0 193
Meson f_0(1790) 8888888 1.79 0.27 0.4 0 0 0 0
Meson f_1(1510) 9000223 1.518 0.073 0.4 0 2 0 0
Meson f_2(1950) 9050225 1.944 0.472 0.4 0 4 0 0
Meson f_2(2150) 9070225 2.157 0.152 0.3 0 4 0 0
Meson f_0(2200) 9070221 2.189 0.238 0.4 0 0 0 0
Meson f_2(1640) 9020225 1.639 0.099 0.4 0 4 0 0
Meson f_2(1910) 9040225 1.903 0.196 0.4 0 4 0 0
Meson f_2(1950) 9050225 1.944 0.472 0.4 0 4 0 0
Meson eta(2225) 9080221 2.22 0.15 0.4 0 0 0 0
Meson eta(1760) 9040221 1.756 0.096 0.4 0 0 0 0
Meson x(1835) 9999999 1.8337 0.068 0.4 0 0 0 0
Meson K0 311 0.4976 0 0 0 0 0 102
Meson anti-K0 -311 0.4976 0 0 0 0 0 0
Meson K_S0 310 0.4976 0 0 0 0 26.762 222
Meson K_L0 130 0.4976 0 0 0 0 15510 221
Meson K+ 321 0.49368 0 0 3 0 3713 103
Meson K- -321 0.49368 0 0 -3 0 3713 0
Meson K*0 313 0.896 0.0503 0.23 0 2 0 122
Meson anti-K*0 -313 0.896 0.0503 0.23 0 2 0 0
Meson K*+ 323 0.89166 0.0508 0.23 3 2 0 123
Meson K*- -323 0.89166 0.0508 0.23 -3 2 0 0
Meson kapa0 9000311 0.682 0.547 0.23 0 0 0 0
Meson anti-kapa0 -9000311 0.682 0.547 0.23 0 0 0 0
Meson kapa+ 9000321 0.682 0.547 0.23 3 0 0 0
Meson kapa- -9000321 0.682 0.547 0.23 -3 0 0 0
Meson K_0*0 10311 1.425 0.27 0.6 0 0 0 162
Meson anti-K_0*0 -10311 1.425 0.27 0.6 0 0 0 0
Meson K_0*+ 10321 1.425 0.27 0.6 3 0 0 163
Meson K_0*- -10321 1.425 0.27 0.6 -3 0 0 0
Meson K_10 10313 1.272 0.09 0.2 0 2 0 142
Meson anti-K_10 -10313 1.272 0.09 0.2 0 2 0 0
Meson K_1+ 10323 1.272 0.09 0.2 3 2 0 143
Meson K_1- -10323 1.272 0.09 0.2 -3 2 0 0
Meson K_2*0 315 1.432 0.109 0.7 0 4 0 202
Meson anti-K_2*0 -315 1.432 0.109 0.7 0 4 0 0
Meson K_2*+ 325 1.426 0.099 0.7 3 4 0 203
Meson K_2*- -325 1.426 0.099 0.7 -3 4 0 0
Meson K'_10 20313 1.403 0.174 0.4 0 2 0 182
Meson anti-K'_10 -20313 1.403 0.174 0.4 0 2 0 0
Meson K'_1+ 20323 1.403 0.174 0.4 3 2 0 183
Meson K'_1- -20323 1.403 0.174 0.4 -3 2 0 0
Meson K'*0 100313 1.414 0.232 0.6 0 2 0 425
Meson anti-K'*0 -100313 1.414 0.232 0.6 0 2 0 0
Meson K'*+ 100323 1.414 0.232 0.6 3 2 0 426
Meson K'*- -100323 1.414 0.232 0.6 -3 2 0 0
Meson K''*0 30313 1.717 0.322 0.7 0 2 0 427
Meson anti-K''*0 -30313 1.717 0.322 0.7 0 2 0 0
Meson K''*+ 30323 1.717 0.322 0.7 3 2 0 428
Meson K''*- -30323 1.717 0.322 0.7 -3 2 0 0
Meson K_20 10315 1.773 0.186 0.7 0 4 0 0
Meson anti-K_20 -10315 1.773 0.186 0.7 0 4 0 0
Meson K_2+ 10325 1.773 0.186 0.7 3 4 0 0
Meson K_2- -10325 1.773 0.186 0.7 -3 4 0 0
Meson K_3*0 317 1.776 0.159 0.7 0 6 0 429
Meson anti-K_3*0 -317 1.776 0.159 0.7 0 6 0 0
Meson K_3*+ 327 1.776 0.159 0.7 3 6 0 430
Meson K_3*- -327 1.776 0.159 0.7 -3 6 0 0
Meson K_4*0 319 2.045 0.198 0.2 0 8 0 431
Meson anti-K_4*0 -319 2.045 0.198 0.2 0 8 0 0
Meson K_4*+ 329 2.045 0.198 0.2 3 8 0 432
Meson K_4*- -329 2.045 0.198 0.2 -3 8 0 0
Meson f_0(2100) 9060221 2.103 2.09 0.2 0 0 0 0
Meson D+ 411 1.86962 0 0 3 0 0.3118 104
Meson D- -411 1.86962 0 0 -3 0 0.3118 0
Meson D0 421 1.86484 0 0 0 0 0.1229 105
Meson anti-D0 -421 1.86484 0 0 0 0 0.1229 0
Meson D0H 422 1.86484 0 0 0 0 0.1234 105
Meson D0L -422 1.86484 0 0 0 0 0.1234 0
Meson D*+ 413 2.01027 0.000096 0.0004 3 2 0 124
Meson D*- -413 2.01027 0.000096 0.0004 -3 2 0 0
Meson D*0 423 2.00697 0 0 0 2 0 125
Meson anti-D*0 -423 2.00697 0 0 0 2 0 0
Meson D_0*+ 10411 2.403 0.283 0.303 3 0 0 164
Meson D_0*- -10411 2.403 0.283 0.303 -3 0 0 0
Meson D_0*0 10421 2.352 0.261 0.299 0 0 0 165
Meson anti-D_0*0 -10421 2.352 0.261 0.299 0 0 0 0
Meson D_1+ 10413 2.4234 0.025 0.28 3 2 0 144
Meson D_1- -10413 2.4234 0.025 0.28 -3 2 0 0
Meson D_10 10423 2.4223 0.0204 0.272 0 2 0 145
Meson anti-D_10 -10423 2.4223 0.0204 0.272 0 2 0 0
Meson D_2*+ 415 2.459 0.029 0.312 3 4 0 204
Meson D_2*- -415 2.459 0.029 0.312 -3 4 0 0
Meson D_2*0 425 2.4611 0.043 0.309 0 4 0 205
Meson anti-D_2*0 -425 2.4611 0.043 0.309 0 4 0 0
Meson D'_1+ 20413 2.461 0.29 0.314 3 2 0 184
Meson D'_1- -20413 2.461 0.29 0.314 -3 2 0 0
Meson D'_10 20423 2.461 0.29 0.311 0 2 0 185
Meson anti-D'_10 -20423 2.461 0.29 0.311 0 2 0 0
Meson D_s+ 431 1.96849 0 0 3 0 0.1499 106
Meson D_s- -431 1.96849 0 0 -3 0 0.1499 0
Meson D_s*+ 433 2.1123 0 0 3 2 0 126
Meson D_s*- -433 2.1123 0 0 -3 2 0 0
Meson D_s0*+ 10431 2.3178 0 0 3 0 0 166
Meson D_s0*- -10431 2.3178 0 0 -3 0 0 0
Meson D_s1+ 10433 2.4596 0 0 3 2 0 146
Meson D_s1- -10433 2.4596 0 0 -3 2 0 0
Meson D_s2*+ 435 2.5726 0.02 0.06 3 4 0 206
Meson D_s2*- -435 2.5726 0.02 0.06 -3 4 0 0
Meson D'_s1+ 20433 2.53535 0 0 3 2 0 186
Meson D'_s1- -20433 2.53535 0 0 -3 2 0 0
Meson D(2S)+ 30411 2.58 0 0 3 0 0 0
Meson D(2S)- -30411 2.58 0 0 -3 0 0 0
Meson D(2S)0 30421 2.58 0 0 0 0 0 0
Meson anti-D(2S)0 -30421 2.58 0 0 0 0 0 0
Meson D*(2S)+ 30413 2.64 0 0 3 2 0 0
Meson D*(2S)- -30413 2.64 0 0 -3 2 0 0
Meson D*(2S)0 30423 2.64 0 0 0 2 0 0
Meson anti-D*(2S)0 -30423 2.64 0 0 0 2 0 0
Meson B0 511 5.2794 0 0 0 0 0.462 107
Meson anti-B0 -511 5.2794 0 0 0 0 0.462 0
Meson B0L 150 5.2794 0 0 0 0 0.462 0
Meson B0H 510 5.2794 0 0 0 0 0.462 0
Meson B+ 521 5.2791 0 0 3 0 0.502 108
Meson B- -521 5.2791 0 0 -3 0 0.502 0
Meson B*0 513 5.3248 0 0 0 2 0 127
Meson anti-B*0 -513 5.3248 0 0 0 2 0 0
Meson B*+ 523 5.3246 0 0 3 2 0 128
Meson B*- -523 5.3246 0 0 -3 2 0 0
Meson B_0*0 10511 5.697 0.1 0.2 0 0 0 167
Meson anti-B_0*0 -10511 5.697 0.1 0.2 0 0 0 0
Meson B_0*+ 10521 5.697 0.1 0.2 3 0 0 168
Meson B_0*- -10521 5.697 0.1 0.2 -3 0 0 0
Meson B_10 10513 5.679 0.1 0.2 0 2 0 147
Meson anti-B_10 -10513 5.679 0.1 0.2 0 2 0 0
Meson B_1+ 10523 5.679 0.1 0.2 3 2 0 148
Meson B_1- -10523 5.679 0.1 0.2 -3 2 0 0
Meson B_2*0 515 5.692 0.1 0.2 0 4 0 207
Meson anti-B_2*0 -515 5.692 0.1 0.2 0 4 0 0
Meson B_2*+ 525 5.692 0.1 0.2 3 4 0 208
Meson B_2*- -525 5.692 0.1 0.2 -3 4 0 0
Meson B'_10 20513 5.74 0.1 0.2 0 2 0 187
Meson anti-B'_10 -20513 5.74 0.1 0.2 0 2 0 0
Meson B'_1+ 20523 5.74 0.1 0.2 3 2 0 188
Meson B'_1- -20523 5.74 0.1 0.2 -3 2 0 0
Meson B_s0 531 5.3693 0 0 0 0 0.46 109
Meson anti-B_s0 -531 5.3693 0 0 0 0 0.46 0
Meson B_s0L 350 5.3693 0 0 0 0 0.49 0
Meson B_s0H 530 5.3693 0 0 0 0 0.43 0
Meson B_s*0 533 5.4163 0 0 0 2 0 129
Meson anti-B_s*0 -533 5.4163 0 0 0 2 0 0
Meson B_s0*0 10531 5.766 0.1 0.12 0 0 0 169
Meson anti-B_s0*0 -10531 5.766 0.1 0.12 0 0 0 0
Meson B_s10 10533 5.81 0.1 0.12 0 2 0 149
Meson anti-B_s10 -10533 5.81 0.1 0.12 0 2 0 0
Meson B_s2*0 535 5.853 0.1 0.2 0 4 0 209
Meson anti-B_s2*0 -535 5.853 0.1 0.2 0 4 0 0
Meson B'_s10 20533 5.84 0.1 0.2 0 2 0 189
Meson anti-B'_s10 -20533 5.84 0.1 0.2 0 2 0 0
Meson B_c+ 541 6.4 0 0 3 0 0.14 110
Meson B_c- -541 6.4 0 0 -3 0 0.14 0
Meson B_c*+ 543 6.602 0 0 3 2 0 130
Meson B_c*- -543 6.602 0 0 -3 2 0 0
Meson B_c0*+ 10541 7.25 0.02 0.06 3 0 0 170
Meson B_c0*- -10541 7.25 0.02 0.06 -3 0 0 0
Meson B_c1+ 10543 7.3 0.02 0.06 3 2 0 150
Meson B_c1- -10543 7.3 0.02 0.06 -3 2 0 0
Meson B_c2*+ 545 7.35 0.02 0.06 3 4 0 210
Meson B_c2*- -545 7.35 0.02 0.06 -3 4 0 0
Meson B'_c1+ 20543 7.4 0.2 0.2 3 2 0 190
Meson B'_c1- -20543 7.4 0.2 0.2 -3 2 0 0
Meson eta_c 441 2.98 0.0267 0.15 0 0 0 114
Meson eta_c(2S) 20441 3.637 0.014 0.02 0 0 0 460
Meson J/psi 443 3.0969 0.000093 0.0002 0 2 0 134
Special psi_diff 440 0 0 0 0 2 0 287
Meson psi(2S) 100443 3.68609 0.0003 0.0008 0 2 0 231
Meson psi(3770) 30443 3.7729 0.0273 0.03 0 2 0 0
Meson psi(4040) 9000443 4.038 0.08 0.01 0 2 0 0
Meson psi(4160) 9010443 4.153 0.103 0.15 0 2 0 0
Meson psi(4260) 9030443 4.263 0.095 0.05 0 2 0 0
Meson psi(4360) 9040443 4.36 0.074 0.05 0 2 0 0
Meson psi(4415) 9020443 4.421 0.062 0.08 0 2 0 0
Meson h_c 10443 3.52593 0.001 0.02 0 2 0 154
Meson chi_c0 10441 3.41475 0.0102 0.1 0 0 0 174
Meson chi_c1 20443 3.51066 0.00089 0.05 0 2 0 194
Meson chi_c2 445 3.5562 0.00203 0.05 0 4 0 214
Meson eta_b 551 9.403 0 0 0 0 0 115
Meson eta_b(2S) 20551 9.997 0 0 0 0 0 401
Meson eta_b(3S) 40551 10.335 0 0 0 0 0 402
Meson Upsilon 553 9.4603 0.0000525 0.0005 0 2 0 135
Meson Upsilon(2S) 30553 10.02326 0.000044 0.0004 0 2 0 235
Meson Upsilon(3S) 60553 10.3552 0.0000263 0.00026 0 2 0 403
Meson Upsilon(4S) 70553 10.575 0.019 0.039 0 2 0 404
Meson Upsilon(5S) 80553 10.865 0.11 0 0 2 0 405
Meson h_b 10553 9.875 0 0 0 2 0 155
Meson h_b(2P) 40553 10.255 0 0 0 2 0 422
Meson h_b(3P) 100553 10.516 0 0 0 2 0 423
Meson chi_b0 10551 9.8599 0 0 0 0 0 175
Meson chi_b1 20553 9.8927 0 0 0 2 0 195
Meson chi_b2 555 9.9126 0 0 0 4 0 215
Meson chi_b0(2P) 30551 10.2321 0 0 0 0 0 410
Meson chi_b1(2P) 50553 10.2552 0 0 0 2 0 411
Meson chi_b2(2P) 10555 10.2685 0 0 0 4 0 412
Meson chi_b0(3P) 50551 10.5007 0 0 0 0 0 413
Meson chi_b1(3P) 110553 10.516 0 0 0 2 0 414
Meson chi_b2(3P) 20555 10.5264 0 0 0 4 0 415
Meson eta_b2(1D) 40555 10.157 0 0 0 2 0 424
Meson eta_b2(2D) 60555 10.441 0 0 0 2 0 425
Meson Upsilon_1(1D) 120553 10.1501 0 0 0 2 0 416
Meson Upsilon_2(1D) 30555 10.1562 0 0 0 4 0 417
Meson Upsilon_3(1D) 557 10.1599 0 0 0 6 0 418
Meson Upsilon_1(2D) 130553 10.4349 0 0 0 2 0 419
Meson Upsilon_2(2D) 50555 10.4406 0 0 0 4 0 420
Meson Upsilon_3(2D) 10557 10.4443 0 0 0 6 0 421
Meson sigma_0 10222 0.478 0.6 0 0 0 0 0
Baryon Delta- 1114 1.234 0.115 0.2 -3 3 0 361
Baryon anti-Delta+ -1114 1.234 0.115 0.2 3 3 0 0
Special n_diffr 2110 0 0 0 0 1 0 282
Special anti-n_diffr -2110 0 0 0 0 1 0 0
Baryon n0 2112 0.9395656 0 0 0 1 266000000000000 332
Baryon anti-n0 -2112 0.9395656 0 0 0 1 266000000000000 0
Baryon Delta0 2114 1.233 0.115 0.2 0 3 0 362
Baryon anti-Delta0 -2114 1.233 0.115 0.2 0 3 0 0
Special p_diff+ 2210 0 0 0 3 1 0 283
Special anti-p_diff- -2210 0 0 0 -3 1 0 0
Baryon p+ 2212 0.9382723 0 0 3 1 0 333
Baryon anti-p- -2212 0.9382723 0 0 -3 1 0 0
Baryon Delta+ 2214 1.232 0.115 0.2 3 3 0 363
Baryon anti-Delta- -2214 1.232 0.115 0.2 -3 3 0 0
Baryon Delta++ 2224 1.231 0.115 0.2 6 3 0 364
Baryon anti-Delta-- -2224 1.231 0.115 0.2 -6 3 0 0
Baryon Sigma- 3112 1.197436 0 0 -3 1 44.34 335
Baryon anti-Sigma+ -3112 1.197436 0 0 3 1 44.34 0
Baryon Sigma*- 3114 1.3872 0.0394 0.4 -3 3 0 365
Baryon anti-Sigma*+ -3114 1.3872 0.0394 0.4 3 3 0 0
Baryon Lambda0 3122 1.115684 0 0 0 1 78.88 306
Baryon anti-Lambda0 -3122 1.115684 0 0 0 1 78.88 0
Baryon Lambda(1405)0 13122 1.407 0.05 0 0 1 0 0
Baryon anti-Lambda(1405)0 -13122 1.407 0.05 0 0 1 0 0
Baryon Lambda(1520)0 3124 1.5195 0.0156 0.18 0 3 0 0
Baryon anti-Lambda(1520)0 -3124 1.5195 0.0156 0.18 0 3 0 0
Baryon Lambda(1600)0 23122 1.6 0.15 0.45 0 1 0 0
Baryon anti-Lambda(1600)0 -23122 1.6 0.15 0.45 0 1 0 0
Baryon Lambda(1670)0 33122 1.67 0.035 0.18 0 1 0 0
Baryon anti-Lambda(1670)0 -33122 1.67 0.035 0.18 0 1 0 0
Baryon Lambda(1690)0 13124 1.69 0.06 0.3 0 3 0 0
Baryon anti-Lambda(1690)0 -13124 1.69 0.06 0.3 0 3 0 0
Baryon Lambda(1800)0 43122 1.8 0.3 0 0 1 0 0
Baryon anti-Lambda(1800)0 -43122 1.8 0.3 0 0 1 0 0
Baryon Lambda(1810)0 53122 1.81 0.15 0 0 1 0 0
Baryon anti-Lambda(1810)0 -53122 1.81 0.15 0 0 1 0 0
Baryon Lambda(1820)0 3126 1.82 0.08 0.4 0 5 0 0
Baryon anti-Lambda(1820)0 -3126 1.82 0.08 0.4 0 5 0 0
Baryon Lambda(1830)0 13126 1.83 0.095 0.48 0 5 0 0
Baryon anti-Lambda(1830)0 -13126 1.83 0.095 0.48 0 5 0 0
Baryon Sigma(1660)0 13212 1.66 0.1 0 0 1 0 0
Baryon anti-Sigma(1660)0 -13212 1.66 0.1 0 0 1 0 0
Baryon Sigma(1670)0 13214 1.67 0.06 0.3 0 3 0 0
Baryon anti-Sigma(1670)0 -13214 1.67 0.06 0.3 0 3 0 0
Baryon Sigma(1750)0 23212 1.75 0.09 0.45 0 1 0 0
Baryon anti-Sigma(1750)0 -23212 1.75 0.09 0.45 0 1 0 0
Baryon Sigma(1775)0 3216 1.775 0.12 0 0 5 0 0
Baryon anti-Sigma(1775)0 -3216 1.775 0.12 0 0 5 0 0
Baryon Sigma0 3212 1.19255 0 0 0 1 0 336
Baryon anti-Sigma0 -3212 1.19255 0 0 0 1 0 0
Baryon Sigma*0 3214 1.3837 0.036 0.35 0 3 0 366
Baryon anti-Sigma*0 -3214 1.3837 0.036 0.35 0 3 0 0
Baryon Sigma+ 3222 1.18937 0 0 3 1 23.96 337
Baryon anti-Sigma- -3222 1.18937 0 0 -3 1 23.96 0
Baryon Sigma*+ 3224 1.3828 0.036 0.35 3 3 0 367
Baryon anti-Sigma*- -3224 1.3828 0.036 0.35 -3 3 0 0
Baryon Xi- 3312 1.32132 0 0 -3 1 49.1 338
Baryon anti-Xi+ -3312 1.32132 0 0 3 1 49.1 0
Baryon Xi*- 3314 1.535 0.0099 0.5 -3 3 0 368
Baryon anti-Xi*+ -3314 1.535 0.0099 0.5 3 3 0 0
